positionType,publishTime,peopleNum,positionlink,positionname,workLocation
产品/项目类,2019-03-13,1,position_detail.php?id=48437&keywords=&tid=0&lid=0,30625-腾讯广告生态合作运营经理（北京）,北京
市场类,2019-03-13,1,position_detail.php?id=48438&keywords=&tid=0&lid=0,30625-腾讯广告平台销售经理（大客户和生态组）,北京
产品/项目类,2019-03-13,1,position_detail.php?id=48439&keywords=&tid=0&lid=0,30625-腾讯广告KA电商行业数据运营经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48430&keywords=&tid=0&lid=0,23295-互娱游戏营销算法工程师,深圳
技术类,2019-03-13,1,position_detail.php?id=48431&keywords=&tid=0&lid=0,23295-互娱社区后台开发工程师（深圳）,深圳
设计类,2019-03-13,1,position_detail.php?id=48432&keywords=&tid=0&lid=0,23292-互娱概念美术指导,深圳
市场类,2019-03-13,1,position_detail.php?id=48433&keywords=&tid=0&lid=0,HY6-互娱市场推广经理（内容营销方向）,武汉
市场类,2019-03-13,1,position_detail.php?id=48434&keywords=&tid=0&lid=0,25666-融合媒体行业销售Leader(北京/深圳)（深圳总部）,深圳
产品/项目类,2019-03-13,2,position_detail.php?id=48424&keywords=&tid=0&lid=0,25927-toB高级产品经理（上海）,上海
技术类,2019-03-13,1,position_detail.php?id=48425&keywords=&tid=0&lid=0,30628-腾讯广告投放平台PHP开发工程师（上海）,上海
市场类,2019-03-13,1,position_detail.php?id=48426&keywords=&tid=0&lid=0,CSIG15-高级商业分析师,深圳
技术类,2019-03-13,1,position_detail.php?id=48427&keywords=&tid=0&lid=0,30628-业务运维高级工程师,北京
技术类,2019-03-13,1,position_detail.php?id=48428&keywords=&tid=0&lid=0,25929-高级机器学习工程师,上海
产品/项目类,2019-03-13,1,position_detail.php?id=48429&keywords=&tid=0&lid=0,27192-互娱游戏社区产品运营经理,深圳
技术类,2019-03-13,1,position_detail.php?id=48419&keywords=&tid=0&lid=0,TEG02-SDN开发工程师（北京）,北京
市场类,2019-03-13,1,position_detail.php?id=48420&keywords=&tid=0&lid=0,TB-投资经理（香港）,香港
设计类,2019-03-13,1,position_detail.php?id=48421&keywords=&tid=0&lid=0,18302-剑灵IP手游本地化资深3D场景设计师（深圳）,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48422&keywords=&tid=0&lid=0,23671-众创空间区域运营经理,深圳
产品/项目类,2019-03-13,1,position_detail.php?id=48423&keywords=&tid=0&lid=0,25928-音频策划,上海
技术类,2019-03-13,3,position_detail.php?id=48413&keywords=&tid=0&lid=0,22989-腾讯云存储产品售前架构师（深圳/北京/上海）,深圳
技术类,2019-03-13,1,position_detail.php?id=48414&keywords=&tid=0&lid=0,TME-腾讯音乐测试开发组长（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48415&keywords=&tid=0&lid=0,TME-全民K歌国际版高级测试工程师（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48416&keywords=&tid=0&lid=0,TME-腾讯音乐音质音效高级测试工程师（深圳）,深圳
内容编辑类,2019-03-13,1,position_detail.php?id=48417&keywords=&tid=0&lid=0,22851-腾讯视频电影频道运营（天津）,天津
技术类,2019-03-13,2,position_detail.php?id=48418&keywords=&tid=0&lid=0,TEG02-SDN开发工程师（深圳总部）,深圳
市场类,2019-03-13,1,position_detail.php?id=48408&keywords=&tid=0&lid=0,15582-商业分析经理（深圳）,深圳
产品/项目类,2019-03-13,2,position_detail.php?id=48409&keywords=&tid=0&lid=0,25663-腾讯云国际业务产品策划经理（深圳）,深圳
技术类,2019-03-13,1,position_detail.php?id=48410&keywords=&tid=0&lid=0,WXG03-微信小程序&公众号计算机视觉高级研究员,广州
设计类,2019-03-13,1,position_detail.php?id=48411&keywords=&tid=0&lid=0,25928-交互设计师,深圳
市场类,2019-03-13,1,position_detail.php?id=48412&keywords=&tid=0&lid=0,25667-腾讯云服务合作伙伴高级运营经理（深圳）,深圳
